nom,latitude,longitude,categorie,statut,description,avis,note
Rôtisserie Segar,48.84083154081126, 2.349778439232273,Resto,A faire,"Poulet 19,90€/kg (possible de l’acheter à la moitié et au quart), Sandwich 7,50-9 (le césar 9,5), accompagnement 18-23€/kg, terrines et rillettes 30-32€/kg, desserts 20-30€/kg","Peut etre surcote, apparmment le sandwich est presque vide",4.2
Chantefable,48.866547320091506, 2.399649112250692,Resto,A faire,"Bistro typique, plats classiques francais,Plat du jour 19-25, marée 11-97, entrées 6-20, salades 14.50-16, plats 17-45, desserts 3-18.5","Apparamment grandes portions",4.55
Ngoc Xuyen Saigon,48.823089800830374, 2.3617778122479716,Resto,A faire,"Vietnamien,  Soupes (pho) 14.50-16.50 ; Nem 7.50 ; raviolis (13 en plat, 7.50 en entrée)","Tres populair, mais apparmment un des meilleurs pho de Prais, donc bcp de monde, aller aux heures creuses, demander os a moele",4.2
Le Jardin des Pâtes,48.843874911922754, 2.354342813491599,Resto,A faire,"entrée 6.90-14.20 ; pâtes 15-21.80 (supplément comté 1) ; dessert 3.50-9.80","Cher et apparmment rien d'exceptionel",3.5
Majid Kababi,48.84666304367326, 2.287170378178012,Resto,A faire,"Iranien, portions genereuses, a laire vraiment incroyable, compter 20 euros je pense",,4.9
Le Toit de La Bellevilloise,48.868378784693085, 2.3921807362796916,Bar,A faire,"Rooftop, super vue degagee sur Paris, 7-9 euros le demi litre de biere, 14 euros les cocktails","Assez cher mais super vue",3.95
Concept chef Brazilian BBQ,48.84293686804469, 2.329738283413064,Resto,A faire,"Burger avec viande au BBQ cuite entre 2 et 12 heures, a l'aire vraiment incroyable, menu (burger frites boison de 13 a 20 euros, assiete a 12-14 euros)","Portions peut etre un peut petites, a voir",4.55
Restaurant Les délices de Tunisie,48.86890730408242, 2.38529480854498,Resto,A faire,"Sandwichs tunisiens, a l'aire tres bien, grosses portions","Tout maison (frites, pains, sauces, ...)",4.85
Petit Veau Athis Mons,48.71425692148502, 2.3738925086742504,Resto,A faire,"Kebab, apparament tres bon",,4
Broche’ET Kebab,48.895800847777636, 2.346468893202102,Resto, A faire,"Kebab le mieux note de paris, apparmment ne veut pas le prix, 12.5 euros le menu",,4.65
Urfa Dürüm,48.87315769781247, 2.354496222756282,Resto,A faire,"Sandwiches kurdes, 10 euros le sandwich, 2.5 la boisson",,4.4
Chez Alain Miam Miam,48.862465033156006, 2.361795750872277,Resto,A faire,"Sandwiches immenses, apparmment suculents et assz chers 15 sur place, 13.5 a l'emporter",,4.4
